gap_bucket,vol_bucket,flow_bucket,volume_bucket,prev_fee_bucket,action_fee_bps,value_estimate,visit_count
1,1,2,2,3,10,0.040899,10081
1,1,2,2,3,20,0.040776,9807
1,1,2,2,3,30,0.040747,9741
1,1,2,2,4,3,0.041194,31530
1,1,2,2,4,6,0.040861,14976
1,1,2,2,4,10,0.040867,6244
1,1,2,2,4,20,0.040761,6205
1,1,2,2,4,30,0.040735,6145
1,1,3,0,0,3,0.014577,9
1,1,3,0,0,6,0.001246,1
1,1,3,0,0,10,0.000964,1
1,1,3,0,0,20,0.000000,0
1,1,3,0,0,30,0.000506,4
1,1,3,0,1,3,0.000000,0
1,1,3,0,1,6,0.001846,3
1,1,3,0,1,10,0.000291,1
1,1,3,0,1,20,0.000000,0
1,1,3,0,1,30,0.000088,1
1,1,3,0,2,3,0.001312,1
1,1,3,0,2,6,0.000262,2
1,1,3,0,2,10,0.005611,6
1,1,3,0,2,20,0.000000,0
1,1,3,0,2,30,0.000181,1
1,1,3,0,3,3,0.000000,0
1,1,3,0,3,6,0.010267,9
1,1,3,0,3,10,0.001245,2
1,1,3,0,3,20,0.000000,0
1,1,3,0,3,30,0.000181,2
1,1,3,0,4,3,0.000000,0
1,1,3,0,4,6,0.005037,4
1,1,3,0,4,10,0.000295,1
1,1,3,0,4,20,0.000000,0
1,1,3,0,4,30,0.000088,1
1,1,3,1,0,3,0.002039,1
1,1,3,1,0,6,0.001831,3
1,1,3,1,0,10,0.032128,51
1,1,3,1,0,20,0.001875,7
1,1,3,1,0,30,0.001838,10
1,1,3,1,1,3,0.011946,7
1,1,3,1,1,6,0.006449,4
1,1,3,1,1,10,0.038475,83
1,1,3,1,1,20,0.003496,15
1,1,3,1,1,30,0.001468,8
1,1,3,1,2,3,0.008266,6
1,1,3,1,2,6,0.002614,4
1,1,3,1,2,10,0.028894,34
1,1,3,1,2,20,0.000652,5
1,1,3,1,2,30,0.000437,4
1,1,3,1,3,3,0.000486,2
1,1,3,1,3,6,0.020802,21
1,1,3,1,3,10,0.003774,4
1,1,3,1,3,20,0.000001,1
1,1,3,1,3,30,0.000098,4
1,1,3,1,4,3,0.004764,3
1,1,3,1,4,6,0.014561,13
1,1,3,1,4,10,0.001767,1
1,1,3,1,4,20,0.000165,2
