policy,step,external_price,amm_price,oracle_gap_bps,inventory_skew,recent_vol,fee_bps,trade_type,pool_x,pool_y,fee_revenue,lvr
fixed_6bps,151,1991.610530,1990.813407,-10.5129,-0.000526,0.00096660,6.0000,fund,997700.7084,501.1523,0.673968,36.7280
fixed_6bps,152,1991.554901,1990.757801,-3.7232,-0.000186,0.00096830,6.0000,fund,997686.7748,501.1593,0.470626,36.7226
fixed_6bps,153,1990.522441,1989.725754,1.1824,0.000059,0.00096801,6.0000,fund,997428.1312,501.2893,0.323675,36.6861
fixed_6bps,154,1986.807801,1986.012601,14.6866,0.000734,0.00085778,6.0000,fund,996497.0149,501.7576,0.558670,37.1829
fixed_6bps,155,1987.435089,1986.639637,-7.1574,-0.000358,0.00084281,6.0000,fund,996654.3125,501.6785,0.572869,37.2707
fixed_6bps,156,1985.109720,1984.315199,7.7070,0.000385,0.00085765,6.0000,fund,996071.0815,501.9722,0.349939,37.3786
fixed_6bps,157,1985.286320,1984.491728,-4.8916,-0.000245,0.00075451,6.0000,fund,996115.3870,501.9499,0.504815,37.3983
fixed_6bps,158,1986.744327,1985.949152,-11.3381,-0.000567,0.00078637,6.0000,fund,996481.0966,501.7657,0.697833,37.6791
fixed_6bps,159,1991.320616,1990.523610,-26.9744,-0.001351,0.00089062,6.0000,arb+fund,997628.0895,501.1888,1.167153,39.4591
fixed_6bps,160,1991.114045,1990.317121,-2.9654,-0.000148,0.00087556,6.0000,fund,997576.3433,501.2148,0.447885,39.4411
fixed_6bps,161,1990.720513,1989.923747,-2.0264,-0.000101,0.00085857,6.0000,fund,997477.7559,501.2643,0.419733,39.4113
fixed_6bps,162,1987.471784,1986.676318,12.3371,0.000616,0.00091521,6.0000,fund,996663.5134,501.6738,0.488546,39.7502
fixed_6bps,163,1988.934498,1988.138447,-11.3537,-0.000568,0.00092373,6.0000,fund,997030.2019,501.4893,0.698684,40.0320
fixed_6bps,164,1987.494304,1986.698829,3.2410,0.000162,0.00089512,6.0000,fund,996669.1600,501.6710,0.261872,40.0183
fixed_6bps,165,1982.138336,1981.345005,23.0079,0.001149,0.00104997,6.0000,arb+fund,995325.3249,502.3483,0.806301,41.2928
fixed_6bps,166,1984.213310,1983.419148,-14.4556,-0.000723,0.00108558,6.0000,fund,995846.1598,502.0856,0.790603,41.7740
fixed_6bps,167,1983.220969,1982.427204,0.9993,0.000050,0.00108684,6.0000,fund,995597.1083,502.2112,0.328552,41.7366
fixed_6bps,168,1980.799387,1980.006591,8.2180,0.000411,0.00110573,6.0000,fund,994989.0932,502.5181,0.364809,41.8646
fixed_6bps,169,1978.875844,1978.083818,5.7141,0.000286,0.00110894,6.0000,fund,994505.8618,502.7622,0.289939,41.9059
fixed_6bps,170,1981.532470,1980.739381,-17.4040,-0.000871,0.00116540,6.0000,arb+fund,995173.1962,502.4251,0.878180,42.6211
fixed_6bps,171,1984.233585,1983.439415,-17.6098,-0.000881,0.00120173,6.0000,arb+fund,995851.2476,502.0830,0.884935,43.3548
fixed_6bps,172,1984.019654,1983.225570,-2.9246,-0.000146,0.00120133,6.0000,fund,995797.5623,502.1101,0.445868,43.3362
fixed_6bps,173,1983.399106,1982.605270,-0.8749,-0.000044,0.00119935,6.0000,fund,995641.8206,502.1886,0.384559,43.2982
fixed_6bps,174,1986.245833,1985.450858,-18.3289,-0.000917,0.00118270,6.0000,arb+fund,996356.0754,501.8286,0.906900,44.0968
fixed_6bps,175,1986.922110,1986.126864,-7.4047,-0.000370,0.00118305,6.0000,fund,996525.6806,501.7432,0.580191,44.1936
fixed_6bps,176,1986.921586,1986.126340,-3.9998,-0.000200,0.00115290,6.0000,fund,996525.5492,501.7433,0.478349,44.1935
fixed_6bps,177,1984.872186,1984.077761,6.3186,0.000316,0.00117643,6.0000,fund,996011.4860,502.0022,0.308438,44.2530
fixed_6bps,178,1984.849478,1984.055061,-3.8880,-0.000194,0.00116400,6.0000,fund,996005.7884,502.0051,0.474760,44.2507
fixed_6bps,179,1986.639794,1985.844661,-13.0106,-0.000651,0.00105796,6.0000,fund,996454.8814,501.7789,0.747850,44.6331
fixed_6bps,180,1988.089010,1987.293297,-11.2890,-0.000565,0.00107397,6.0000,fund,996818.2626,501.5959,0.696597,44.9112
fixed_6bps,181,1988.288770,1987.492978,-5.0067,-0.000250,0.00107424,6.0000,fund,996868.3407,501.5707,0.508640,44.9337
fixed_6bps,182,1990.386583,1989.589950,-14.5379,-0.000727,0.00103662,6.0000,fund,997394.0922,501.3064,0.794296,45.4216
fixed_6bps,183,1987.862824,1987.067201,8.6884,0.000434,0.00106426,6.0000,fund,996761.5566,501.6245,0.379521,45.5697
fixed_6bps,184,1984.687517,1983.893165,11.9902,0.000599,0.00110902,6.0000,fund,995965.1514,502.0256,0.477843,45.8874
fixed_6bps,185,1979.983274,1979.190806,19.7471,0.000986,0.00107213,6.0000,arb+fund,994784.0986,502.6216,0.708632,46.8156
fixed_6bps,186,1981.087587,1980.294676,-9.5744,-0.000479,0.00105215,6.0000,fund,995061.4746,502.4815,0.644151,47.0040
fixed_6bps,187,1979.829488,1979.037081,2.3496,0.000117,0.00105526,6.0000,fund,994745.4652,502.6411,0.287968,46.9779
fixed_6bps,188,1981.392273,1980.599240,-11.8865,-0.000595,0.00103786,6.0000,fund,995137.9905,502.4429,0.713277,47.2900
fixed_6bps,189,1980.573845,1979.781140,0.1282,0.000006,0.00101827,6.0000,fund,994932.4450,502.5467,0.354336,47.2502
fixed_6bps,190,1981.577560,1980.784453,-9.0656,-0.000453,0.00098059,6.0000,fund,995184.5189,502.4194,0.629029,47.4150
fixed_6bps,191,1983.411389,1982.617548,-13.2445,-0.000663,0.00095453,6.0000,fund,995644.9036,502.1871,0.754236,47.8124
fixed_6bps,192,1985.939516,1985.144663,-16.7274,-0.000837,0.00099487,6.0000,arb+fund,996279.2438,501.8673,0.858914,48.4707
fixed_6bps,193,1986.770993,1985.975808,-8.1858,-0.000409,0.00099437,6.0000,fund,996487.7841,501.7623,0.603534,48.5979
fixed_6bps,194,1988.855477,1988.059457,-14.4790,-0.000724,0.00097149,6.0000,fund,997010.3953,501.4993,0.792228,49.0813
